city,name,price,rating,amenities_score,popularity_score,location,room_types,breakfast_included,free_cancellation
Dalhousie,Hotel Grand,2600,4.1,7,84,"Subhash Chowk",Standard|Deluxe,True,False
Dalhousie,Hotel City Heart,3000,4.2,7,85,"Gandhi Chowk",Deluxe,False,True
Kasauli,Ros Common Guest House,3800,4.4,7,89,"Mall Road",Deluxe|Suite,True,True
Kasauli,Alasia Hotel,3200,4.3,7,87,"Lower Mall",Standard|Deluxe,True,False
Kasauli,Hotel Pine Hill,3500,4.4,8,88,"Upper Mall",Deluxe|Suite,True,True
Kasauli,Hotel Krishna,2500,4.1,7,83,"Mall Road",Standard|Deluxe,False,True
Kasauli,Hotel Mount View,2900,4.2,7,85,"Garkhal Road",Deluxe,True,False
Kasauli,Hotel White,3300,4.3,7,86,"Dagshai Road",Premium|Suite,True,True
Kasauli,Hotel Sun n Snow,2700,4.1,7,84,"Mall Road",Standard,True,False
Kasauli,Hotel Kasauli Heights,4000,4.6,8,91,"Upper Mall",Suite|Villa,True,True
Kasauli,Hotel Blue Moon,3100,4.3,7,86,"Lower Mall",Deluxe,False,True
Kasauli,Hotel Hill View,3600,4.5,8,89,"Garkhal Road",Deluxe|Suite,True,False
Kasauli,Hotel Pine Crest,3400,4.4,8,88,"Garkhal Road",Deluxe,True,True
Kasauli,Hotel Whispering Pines,3900,4.5,8,90,"Upper Mall",Suite,True,False
Kasauli,Hotel Kasauli Retreat,2800,4.2,7,85,"Lower Mall",Standard|Deluxe,False,True
Palampur,Hotel T-Bud,3200,4.3,7,86,"Tara Devi Road",Deluxe,True,True
Palampur,Neugal Cafe Hotel,2400,4.1,7,83,"Neugal Khad",Standard,False,False
Palampur,Hotel Aroma,3500,4.5,8,89,"Bundla Road",Premium|Suite,True,True
Palampur,Hotel Pine View,2900,4.2,7,85,"Andretta Road",Deluxe,True,False
Palampur,Hotel Tea County,4100,4.6,8,92,"Tea Garden Road",Villa|Suite,True,True
Palampur,Hotel Green Hills,2600,4.1,7,84,"Bundla Road",Standard|Deluxe,False,True
Palampur,Hotel Hilltop,3300,4.4,8,87,"Andretta Road",Deluxe,True,False
Chamba,Hotel Aroma Palace,2800,4.2,7,85,"Chaugan",Deluxe,True,True
Chamba,Hotel City Heart,2200,4.0,6,80,"Dalhousie Road",Standard,False,False
Chamba,Hotel Hill Queen,3100,4.3,7,86,"Chaugan Road",Deluxe|Suite,True,True
Chamba,Hotel Pine Grove,2500,4.1,7,83,"Bhuri Singh Road",Standard|Deluxe,False,True
Chamba,Hotel Valley View,3600,4.5,8,89,"Chaugan",Premium|Suite,True,False
Bir,Hotel The Bir Houses,3000,4.3,7,86,"Bir Road",Cottage|Deluxe,True,True
Bir,Hotel Eagle's Nest,3800,4.5,8,90,"Paragliding Site",Deluxe|Suite,True,False
Bir,Hotel Mountain View,2700,4.2,7,84,"Chowgan Road",Standard|Deluxe,False,True
Bir,Hotel Himalayan Retreat,3400,4.4,8,88,"Upper Bir",Wooden Cottage,True,True
Bir,Hotel Silver Oaks,2900,4.3,7,85,"Lower Bir",Deluxe,True,False
Kangra,Hotel Dev Resorts,3500,4.5,8,89,"Dharamshala Road",Deluxe|Suite,True,True
Kangra,Hotel Pine Crest,2600,4.1,7,84,"Kangra Road",Standard|Deluxe,False,False
Kangra,Hotel Green Valley,3200,4.3,7,86,"Palampur Road",Deluxe,True,True
Kangra,Hotel Royal View,4000,4.6,8,91,"Kangra Fort Road",Premium|Suite,True,False
Kangra,Hotel Hilltop,2800,4.2,7,85,"Kangra Town",Standard|Deluxe,False,True
Mandi,Hotel Mandav,2300,4.0,6,80,"Mandi Town",Standard,False,False
Mandi,Hotel River View,3100,4.3,7,86,"Suket Road",Deluxe,True,True
Mandi,Hotel Pinewood,2700,4.2,7,84,"Mandi Road",Standard|Deluxe,False,True
Mandi,Hotel Rewa Retreat,3400,4.4,8,88,"Rewalsar Road",Deluxe|Suite,True,False
Mandi,Hotel Valley Queen,2900,4.3,7,85,"Mandi Town",Deluxe,True,True
Solan,Hotel Whispering Winds,3200,4.3,7,86,"Solan Road",Deluxe,True,False
Solan,Hotel Pine Hill,2500,4.1,7,83,"Barog Road",Standard|Deluxe,False,True
Solan,Hotel The Grand,3800,4.5,8,90,"Solan Town",Premium|Suite,True,True
Solan,Hotel Hill View,2900,4.2,7,85,"Kasauli Road",Deluxe,True,False
Solan,Hotel Green Acres,3300,4.4,8,87,"Barog Bypass",Deluxe|Suite,False,True
Bilaspur,Hotel Satluj View,2600,4.1,7,84,"Bilaspur Town",Standard|Deluxe,True,False
Bilaspur,Hotel Lakeside,3500,4.5,8,89,"Govind Sagar",Deluxe|Suite,True,True
Bilaspur,Hotel Pine Crest,2800,4.2,7,85,"Bilaspur Road",Deluxe,False,True
Bilaspur,Hotel Valley Queen,3100,4.3,7,86,"Anandpur Road",Premium,True,False
Bilaspur,Hotel Green Hills,2400,4.0,6,81,"Bilaspur Town",Standard,False,True
